,A2,A3,A4,A5
398,23.44,2.85,3.47,23.65
399,23.44,2.85,3.47,23.65
400,23.43,2.84,3.47,23.66
401,23.43,2.84,3.47,23.66
402,23.43,2.84,3.47,23.66
403,23.43,2.84,3.47,23.66
404,23.43,2.84,3.47,23.66
405,23.44,2.85,3.46,23.69
406,23.44,2.85,3.46,23.69
407,23.44,2.85,3.46,23.69
408,23.44,2.85,3.46,23.69
409,23.44,2.85,3.46,23.69
410,23.44,2.85,3.46,23.69
411,23.44,2.83,3.47,23.71
412,23.44,2.83,3.47,23.71
413,23.44,2.83,3.47,23.71
414,23.44,2.83,3.47,23.71
415,23.46,2.83,3.48,23.67
416,23.46,2.83,3.48,23.67
417,23.46,2.83,3.48,23.67
418,23.46,2.83,3.48,23.67
419,23.46,2.83,3.48,23.67
420,23.46,2.83,3.48,23.67
421,23.43,2.83,3.48,23.68
422,23.43,2.83,3.48,23.68
423,23.43,2.83,3.48,23.68
424,23.43,2.83,3.48,23.68
425,23.43,2.83,3.48,23.68
426,23.43,2.83,3.48,23.68
427,23.41,2.84,3.48,23.66
428,23.41,2.84,3.48,23.66
429,23.41,2.84,3.48,23.66
430,23.41,2.84,3.48,23.66
431,23.41,2.84,3.48,23.66
432,23.45,2.83,3.5,23.66
433,23.45,2.83,3.5,23.66
434,23.45,2.83,3.5,23.66
435,23.45,2.83,3.5,23.66
436,23.45,2.83,3.5,23.66
437,23.45,2.83,3.5,23.66
438,23.44,2.84,3.47,23.7
439,23.44,2.84,3.47,23.7
440,23.44,2.84,3.47,23.7
441,23.44,2.84,3.47,23.7
442,23.44,2.84,3.47,23.7
443,23.44,2.84,3.47,23.7
444,23.44,2.84,3.47,23.7
445,23.45,2.84,3.5,23.65
446,23.45,2.84,3.5,23.65
447,23.45,2.84,3.5,23.65
448,23.45,2.84,3.5,23.65
449,23.45,2.84,3.5,23.65
450,23.45,2.84,3.5,23.65
451,23.45,2.85,3.47,23.66
452,23.45,2.85,3.47,23.66
453,23.45,2.85,3.47,23.66
454,23.45,2.85,3.47,23.66
455,23.45,2.85,3.47,23.66
456,23.46,2.84,3.48,23.68
457,23.46,2.84,3.48,23.68
458,23.46,2.84,3.48,23.68
459,23.46,2.84,3.48,23.68
460,23.46,2.84,3.48,23.68
461,23.46,2.84,3.48,23.68
462,23.46,2.84,3.48,23.68
463,23.45,2.83,3.47,23.66
464,23.45,2.83,3.47,23.66
465,23.45,2.83,3.47,23.66
